GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
core-service,com.nexusaid.core.entity,ComplaintAttachment,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity,Committee,44,0,8,0,4,0,8,0,4,0
core-service,com.nexusaid.core.entity,ComplaintResponse,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity,MonthlyReport,17,0,2,0,7,0,3,0,2,0
core-service,com.nexusaid.core.entity,SecourismeCertification,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity,StockAlert,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity,Complaint,23,0,4,0,9,0,4,0,2,0
core-service,com.nexusaid.core.entity,RefreshToken,15,0,4,0,2,0,4,0,2,0
core-service,com.nexusaid.core.entity.domains.immigration,FamilyLinkCase,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity.domains.immigration,IntegrationTracking,4,0,0,0,2,0,1,0,1,0
core-service,com.nexusaid.core.entity.domains.immigration,MigrantCase,4,0,0,0,2,0,1,0,1,0
